averted_true,averted_method1,averted_method2,averted_method3,averted_method5,init_pop_size,lag,seed
28164,25767,28156,28127,30804,1000000,14,1
28084,25787,28168,28137,30844,1000000,14,2
27989,25866,28267,28235,30943,1000000,14,3
28372,25745,28127,28097,30798,1000000,14,4
27869,25897,28302,28270,30976,1000000,14,5
27843,25795,28163,28131,30844,1000000,14,6
27831,25886,28285,28253,30959,1000000,14,7
28392,25772,28160,28131,30840,1000000,14,8
28240,25638,27988,27959,30644,1000000,14,9
27534,25962,28379,28348,31039,1000000,14,10
28164,25657,28013,27982,30664,1000000,14,11
28426,25637,27997,27965,30654,1000000,14,12
28362,25714,28092,28061,30748,1000000,14,13
28326,25711,28094,28066,30730,1000000,14,14
28176,25743,28119,28087,30785,1000000,14,15
27962,25864,28258,28228,30940,1000000,14,16
28375,25752,28138,28110,30799,1000000,14,17
28112,25759,28138,28107,30797,1000000,14,18
28071,25802,28191,28159,30853,1000000,14,19
28090,25776,28159,28129,30820,1000000,14,20
27733,25935,28349,28318,31012,1000000,14,21
28471,25648,28009,27980,30677,1000000,14,22
27832,25875,28274,28242,30941,1000000,14,23
28000,25783,28166,28135,30825,1000000,14,24
28136,25726,28105,28076,30746,1000000,14,25
28203,25666,28022,27991,30677,1000000,14,26
28117,25768,28153,28123,30813,1000000,14,27
28139,25714,28074,28043,30749,1000000,14,28
28107,25709,28070,28041,30739,1000000,14,29
28217,25737,28117,28086,30773,1000000,14,30
28010,25860,28259,28229,30931,1000000,14,31
27660,25931,28340,28308,31001,1000000,14,32
27909,25850,28247,28216,30915,1000000,14,33
27475,25956,28351,28320,31041,1000000,14,34
28512,25750,28134,28104,30820,1000000,14,35
28370,25762,28150,28120,30814,1000000,14,36
27876,25889,28297,28268,30959,1000000,14,37
27645,25921,28326,28296,30990,1000000,14,38
28083,25809,28213,28182,30850,1000000,14,39
28269,25752,28134,28105,30800,1000000,14,40
28144,25798,28190,28160,30850,1000000,14,41
28010,25807,28195,28164,30861,1000000,14,42
27561,25902,28301,28269,30964,1000000,14,43
28010,25764,28137,28106,30804,1000000,14,44
27609,25920,28330,28299,30983,1000000,14,45
28300,25739,28128,28098,30778,1000000,14,46
28329,25751,28131,28101,30810,1000000,14,47
28303,25727,28106,28077,30757,1000000,14,48
28286,25739,28119,28090,30785,1000000,14,49
28060,25831,28229,28199,30895,1000000,14,50
